"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"result.78",0.56,0.625,0.158636191256821,0.56,0.625,0.158636191256821,0.4,0.75,0.133630620956212,0.88,0.625,0.505,0.88,0.625,0.505,0.36,0.875,0.219138629936474
"result.79",0.6,0.625,0.193649167310371,0.72,0.5,0.2,0.44,0.75,0.166641023668336,0.84,0.5,0.34,0.84,0.5,0.34,0.6,0.5,0.086710996952412
"result.80",0.68,0.625,0.267502695888644,0.64,0.375,0.0133630620956212,0.52,0.75,0.232379000772445,0.84,0.25,0.1,0.84,0.25,0.1,0.48,1,0.427617987059879
"result.81",0.68,0.625,0.267502695888644,0.52,0.375,-0.0903696114115064,0.6,0.875,0.407309139713458,0.8,0.5,0.288675134594813,0.8,0.5,0.288675134594813,0.56,0.625,0.158636191256821
"result.82",0.8,0.375,0.175,0.56,0.25,-0.166641023668336,0.8,0.625,0.396314543502133,0.8,0.5,0.288675134594813,0.8,0.5,0.288675134594813,0.76,0.375,0.129903810567666
"result.83",0.6,0.875,0.407309139713458,0.6,0.875,0.407309139713458,0.52,0.625,0.124336474228319,0.8,0.75,0.5,0.8,0.75,0.5,0.6,0.25,-0.133630620956212
"result.84",0.64,0.875,0.44160885674196,0.48,0.5,-0.0171498585142509,0.52,0.875,0.342508437962027,0.6,1,0.516397779494322,0.6,1,0.516397779494322,0.6,0.625,0.193649167310371
"result.85",0.72,0.75,0.412217269074304,0.48,0.875,0.311355596853995,0.64,1,0.548795472456028,0.84,0.625,0.44744645862196,0.8,0.625,0.396314543502133,0.68,0.5,0.160356745147455
"result.86",0.8,0.25,0.0524142418360959,0.68,0.75,0.372857286895372,0.64,0.625,0.229784141923892,0.92,0.5,0.466666666666667,0.92,0.5,0.466666666666667,0.64,0.375,0.0133630620956212
"result.87",0.68,0.625,0.267502695888644,0.6,0.5,0.086710996952412,0.56,0.625,0.158636191256821,0.88,0.5,0.398348237954329,0.84,0.5,0.34,0.64,0.625,0.229784141923892
"result.88",0.76,0.75,0.454344111251122,0.64,0.375,0.0133630620956212,0.72,0.875,0.515930431866851,0.8,0.5,0.288675134594813,0.8,0.5,0.288675134594813,0.68,0.75,0.372857286895372
"result.89",0.76,0.75,0.454344111251122,0.6,0.625,0.193649167310371,0.76,0.625,0.35,0.84,0.875,0.65,0.84,0.875,0.65,0.64,0.625,0.229784141923892
"result.90",0.76,0.75,0.454344111251122,0.56,0.625,0.158636191256821,0.56,1,0.485581582933507,0.84,0.25,0.1,0.84,0.375,0.225381239895212,0.56,0.75,0.265822806970889
"result.91",0.72,0.625,0.307350428199288,0.64,0.5,0.122788122702984,0.56,0.625,0.158636191256821,0.68,0.5,0.160356745147455,0.72,0.5,0.2,0.48,0.75,0.199435292990548
"result.92",0.76,0.625,0.35,0.6,0.5,0.086710996952412,0.64,0.625,0.229784141923892,0.92,0.5,0.466666666666667,0.92,0.5,0.466666666666667,0.64,0.5,0.122788122702984
"result.93",0.72,0.625,0.307350428199288,0.56,0.5,0.0516397779494322,0.64,0.75,0.33565855667131,0.84,0.375,0.225381239895212,0.84,0.375,0.225381239895212,0.64,0.75,0.33565855667131
"result.94",0.8,0.625,0.396314543502133,0.6,0.625,0.193649167310371,0.76,0.75,0.454344111251122,0.8,0.875,0.601337794302955,0.8,1,0.701646415445623,0.8,0.625,0.396314543502133
"result.95",0.8,0.625,0.396314543502133,0.8,0.625,0.396314543502133,0.72,1,0.619677335393187,0.76,0.5,0.242451250142482,0.76,0.625,0.35,0.64,0.75,0.33565855667131
"result.96",0.64,0.5,0.122788122702984,0.52,0.5,0.0171498585142509,0.6,0.75,0.30012252399939,0.8,0.5,0.288675134594813,0.8,0.5,0.288675134594813,0.72,0.5,0.2
"result.97",0.72,0.5,0.2,0.64,0.5,0.122788122702984,0.64,0.875,0.44160885674196,0.88,0.5,0.398348237954329,0.84,0.625,0.44744645862196,0.68,0.5,0.160356745147455
"result.98",0.64,0.875,0.44160885674196,0.56,0.75,0.265822806970889,0.52,0.875,0.342508437962027,0.8,0.75,0.5,0.76,0.75,0.454344111251122,0.56,0.875,0.374388390133384
"result.99",0.68,0.375,0.05,0.64,0.125,-0.219138629936474,0.56,0.75,0.265822806970889,0.8,0.75,0.5,0.8,0.75,0.5,0.56,0.25,-0.166641023668336
"result.100",0.76,0.625,0.35,0.72,0.75,0.412217269074304,0.72,0.875,0.515930431866851,0.8,0.5,0.288675134594813,0.88,0.75,0.606217782649107,0.72,0.875,0.515930431866851
